favorites,id,positive,negative,sentiment
105000,9.52889E+17,1,0,positive
88000,9.52888E+17,1,0,positive
82000,9.52541E+17,1,0,positive
104000,9.52538E+17,1,0,positive
150000,9.52531E+17,1,0,positive
113000,9.52528E+17,0,1,negative
77000,9.52526E+17,0,1,negative
89000,9.52525E+17,1,0,positive
136000,9.52301E+17,0,1,negative
115000,9.52183E+17,1,0,positive
141000,9.52167E+17,1,0,positive
96000,9.52167E+17,0,1,negative
110000,9.52167E+17,1,0,positive
101000,9.51875E+17,1,0,positive
128000,9.51813E+17,1,0,positive
115000,9.51798E+17,0,1,negative
95000,9.51793E+17,0,1,negative
85000,9.51791E+17,1,0,positive
102000,9.51788E+17,0,1,negative
77000,9.51786E+17,0,1,negative
115000,9.5168E+17,1,0,positive
117000,9.51676E+17,1,0,positive
92000,9.5165E+17,0,1,negative
107000,9.51648E+17,1,0,positive
68000,9.51647E+17,1,0,positive
63000,9.51647E+17,1,0,positive
71000,9.51646E+17,1,0,positive
55000,9.51596E+17,0,1,negative
58000,9.51478E+17,1,0,positive
56000,9.51457E+17,0,1,negative
78000,9.51442E+17,0,1,negative
67000,9.51432E+17,0,1,negative
90000,9.51419E+17,1,0,positive
77000,9.51417E+17,0,1,negative
165000,9.5131E+17,1,0,positive
84000,9.51237E+17,1,0,positive
64000,9.51229E+17,0,0,neutral
