favorites,id,positive,negative,sentiment
113000,9.89871E+17,1,0,positive
69000,9.89859E+17,1,0,positive
137000,9.89854E+17,1,0,positive
106000,9.89834E+17,1,0,positive
61000,9.89827E+17,1,0,positive
126000,9.8982E+17,1,0,positive
113000,9.89817E+17,1,0,positive
101000,9.89813E+17,0,1,negative
94000,9.8965E+17,1,0,positive
78000,9.8963E+17,1,0,positive
220000,9.89252E+17,0,0,neutral
348000,9.89226E+17,1,0,positive
82000,9.89145E+17,1,0,positive
86000,9.89145E+17,1,0,positive
70000,9.89134E+17,1,0,positive
106000,9.8911E+17,1,0,positive
89000,9.88875E+17,1,0,positive
46000,9.8886E+17,1,0,positive
57000,9.88857E+17,1,0,positive
52000,9.8885E+17,1,0,positive
57000,9.88841E+17,1,0,positive
38000,9.88839E+17,0,0,neutral
49000,9.88821E+17,1,0,positive
145000,9.8851E+17,1,0,positive
100000,9.88415E+17,0,1,negative
98000,9.88413E+17,0,1,negative
85000,9.88406E+17,1,0,positive
89000,9.88149E+17,1,0,positive
89000,9.88146E+17,1,0,positive
114000,9.88126E+17,1,0,positive
90000,9.88106E+17,1,0,positive
86000,9.88056E+17,1,0,positive
100000,9.8804E+17,0,1,negative
96000,9.88037E+17,1,0,positive
83000,9.8803E+17,1,0,positive
83000,9.87821E+17,0,1,negative
65000,9.87786E+17,0,1,negative
72000,9.87774E+17,1,0,positive
94000,9.87768E+17,1,0,positive
90000,9.87766E+17,1,0,positive
74000,9.8772E+17,1,0,positive
75000,9.87719E+17,1,0,positive
65000,9.87719E+17,1,0,positive
39000,9.87682E+17,0,0,neutral
51000,9.8768E+17,0,1,negative
47000,9.8768E+17,1,0,positive
57000,9.8768E+17,0,1,negative
134000,9.87532E+17,0,1,negative
100000,9.8753E+17,0,1,negative
104000,9.87471E+17,1,0,positive
175000,9.87464E+17,1,0,positive
124000,9.87427E+17,1,0,positive
93000,9.87284E+17,0,1,negative
104000,9.87282E+17,1,0,positive
110000,9.87281E+17,1,0,positive
104000,9.87278E+17,1,0,positive
96000,9.87173E+17,1,0,positive
80000,9.871E+17,1,0,positive
70000,9.87096E+17,0,1,negative
62000,9.87096E+17,0,0,neutral
86000,9.87066E+17,1,0,positive
69000,9.87065E+17,1,0,positive
91000,9.87064E+17,1,0,positive
57000,9.87038E+17,1,0,positive
30000,9.87036E+17,1,0,positive
42000,9.87004E+17,0,0,neutral
79000,9.86995E+17,1,0,positive
81000,9.86989E+17,0,1,negative
67000,9.86979E+17,1,0,positive
61000,9.86801E+17,1,0,positive
61000,9.86719E+17,1,0,positive
71000,9.86711E+17,1,0,positive
96000,9.86643E+17,1,0,positive
91000,9.86577E+17,0,1,negative
95000,9.86556E+17,1,0,positive
108000,9.86545E+17,0,1,negative
73000,9.86437E+17,1,0,positive
80000,9.86432E+17,1,0,positive
40000,9.86431E+17,1,0,positive
43000,9.8643E+17,0,0,neutral
66000,9.86379E+17,0,1,negative
52000,9.86357E+17,0,1,negative
63000,9.86357E+17,0,1,negative
55000,9.86345E+17,1,0,positive
73000,9.86303E+17,1,0,positive
64000,9.86301E+17,1,0,positive
80000,9.86219E+17,1,0,positive
61000,9.86219E+17,1,0,positive
60000,9.86219E+17,0,1,negative
117000,9.86219E+17,1,0,positive
92000,9.85858E+17,0,1,negative
106000,9.85857E+17,1,0,positive
